ASIC1	ACCN2
PIKFYVE	PIP5K3
INF2	C14orf151
INF2	C14orf173
PLD4	C14orf175
PACS2	PACS1L
RRP1B	KIAA0179
CERS6	LASS6
CRX	CORD2
ANO4	TMEM16D
CRY1	PHLL1
SLX4	BTBD12
NACC2	BTBD14A
CRYAA	CRYA1
CRYAB	CRYA2
CTIF	KIAA0427
CRYBA1	CRYB1
CRYBB2	CCA2
CRYBB2	CRYB2A
CRYBB2	CRYB2
ERI1	THEX1
CRYBB3	CRYB3
ATL2	ARL6IP2
CREBRF	C5orf41
KNL1	MCPH4
KNL1	CASC5
CRYGA	CRYG1
CRYGB	CRYG2
ARAP3	CENTD3
CRYGC	CRYG3
CRYGD	CRYG4
NIBAN3	FAM129C
B4GALNT2	GALGT2
B3GNT8	B3GALT7
LRATD2	FAM84B
CRYGS	CRYG8
BRCC3	CXorf53
CISD2	ZCD2
CISD2	WFS2
ATP13A1	ATP13A
CDK12	CRKRS
DRC1	C2orf39
DRC1	CCDC164
EEF1AKNMT	KIAA0859
EEF1AKNMT	METTL13
EEF1AKNMT	DFNM1
RRP15	KIAA0507
KMT5B	SUV420H1
TRAPPC12	TTC15
EMC7	C15orf24
TACO1	CCDC44
RMC1	C18orf8
RMC1	WDR98
CSF1R	FMS
MALRD1	C10orf112
CCDC186	C10orf118
CSF2RA	CSF2R
PHRF1	RNF221
CSF2RB	IL3RB
CSF3	GCSF
CSF3	G-CSF
CSF3	C17orf33
CSF3R	CD114
CSHL1	CSHP1
CNDP2	PEPA
HMCES	C3orf37
CSN1S1	CASA
CSN1S1	CSN1
CHST14	D4ST1
SYNM	DMN
GASK1A	C3orf41
GASK1A	FAM198A
POC1A	WDR51A
NEPRO	C3orf17
ADD3	ADDL
PLEKHG4	SCA4
WDR62	C19orf14
WDR62	MCPH2
TCTN3	C10orf61
TMEM186	C16orf51
NSL1	C1orf48
KANSL1	KIAA1267
CIB2	DFNB48
CIB2	USH1J
NRROS	LRRC33
REXO1	TCEB3BP1
SIL1	MSS
VCAN	CSPG2
EDRF1	C10orf137
ECRG4	C2orf40
NCAN	CSPG3
EHMT1	EHMT1-IT1
GPATCH1	GPATC1
CFHR5	CFHL5
SMC3	CSPG6
FLVCR1	AXPC1
CSRP1	CYRP
RABL6	C9orf86
LARP1B	LARP2
ZFP69	ZNF642
TENT5C	FAM46C
TMX3	TXNDC10
TOPAZ1	C3orf77
PNPLA7	C9orf111
SIMC1	C5orf25
PLIN2	ADFP
SSUH2	C3orf32
CSTA	STF1
CSTA	STFA
CSTB	EPM1
CSTB	STFB
FAM189A2	C9orf61
HCAR2	GPR109A
MRGPRF	GPR168
MRGPRF	GPR140
KIAA1549L	C11orf69
KIAA1549L	C11orf41
YAE1	C7orf36
YAE1	YAE1D1
MFF	C2orf33
GAPDHS	GAPDS
CEP104	KIAA0562
IRGQ	IRGQ1
NKX2-5	CSX
NKX2-5	NKX2E
RXFP3	RLN3R1
DCAF8	WDR42A
ADH1A	ADH1
CDNF	ARMETL1
VPS37A	PQBP2
ZC4H2	KIAA1166
ZC4H2	WWS
ZC4H2	MCS
ZC4H2	MRXS4
CTBS	CTB
EXOC2	SEC5L1
NPRL2	TUSC4
COA3	CCDC56
ADH1B	ADH2
CCN2	CTGF
TMEM216	CORS2
TMEM216	MKS2
FAM151A	C1orf179
LRTOMT	LRRC51
LRTOMT	DFNB63
CTLA4	CELIAC3
CTLA4	IDDM12
DRAXIN	C1orf187
TPGS1	C19orf20
REC114	C15orf60
FBXO46	FBXO34L
WDR45B	WDR45L
SPICE1	CCDC52
SGO1	SGOL1
MTSS2	MTSS1L
DCAF15	C19orf72
PRMT9	PRMT10
ADH1C	ADH3
OTULIN	FAM105B
CTNNB1	CTNNB
SLC9B2	NHEDC2
CTNND1	CTNND
HOGA1	C10orf65
HOGA1	DHDPSL
SMIM19	C8orf40
HAUS1	CCDC5
TMEM240	C1orf70
TMEM240	SCA21
CTPS1	CTPS
ARL8A	ARL10B
DPH7	C9orf112
DPH7	WDR85
CIART	C1orf51
UCMA	C10orf49
PRUNE2	C9orf65
PRUNE2	KIAA0367
CTRB1	CTRB
MMADHC	C2orf25
ERLEC1	C2orf30
SGSM3	RUTBC3
ANO6	TMEM16F
CRISPLD2	LCRISP2
CTSC	PLS
CTSC	PALS
CTSD	CPSD
FAM186B	C12orf25
COQ9	C16orf49
CEP85	CCDC21
H3C13	HIST2H3D
CFAP65	CCDC108
CTSH	CPSB
SPRTN	C1orf124
RNF170	SNAX1
CTSK	CTSO2
CTSK	CTSO
CTSK	PYCD
CTSL	CTSL1
FAM160A2	C11orf56
CTSV	CTSL2
SLF1	BRCTD1
SLF1	ANKRD32
ARL13B	ARL2L1
MFSD4A	MFSD4
TANGO2	C22orf25
C19orf12	SPG43
HNRNPUL2	HNRPUL2
CUBN	MGA1
TRMU	TRMT
RADX	CXorf57
TMEM51	C1orf72
CELF1	CUGBP1
FRMD4A	FRMD4
DMAC2	ATP5SL
KDM4D	JMJD2D
GPATCH2	GPATC2
CELF2	CUGBP2
VAC14	TAX1BP2
MAP7D1	PARCC1
MAP7D1	RPRC1
YJU2	CCDC94
ANO10	TMEM16K
WRAP53	WDR79
CCDC88A	KIAA1212
NDC1	TMEM48
FAR2	MLSTD1
MTPAP	PAPD1
TMEM38B	C9orf87
MSL2	RNF184
MSL2	MSL2L1
SMG8	C17orf71
RESF1	C12orf35
RESF1	KIAA1551
FAM222B	C17orf63
FANCI	KIAA1794
CUX1	CUTL1
NAXD	CARKD
CX3CR1	GPR13
CX3CR1	CMKBRL1
UBA6	UBE1L2
TYW1	RSAFD1
INAVA	C1orf106
MAP11	C7orf43
OTULINL	FAM105A
CFAP44	WDR52
TMA16	C4orf43
UFSP2	C4orf20
RNLS	C10orf59
ZGRF1	C4orf21
BCORL1	CXorf10
BEND5	C1orf165
OFD1	CXorf5
OFD1	RP23
RNASEH2B	DLEU8
RNASEH2B	AGS2
GORAB	SCYL1BP1
ATG101	C12orf44
MAMLD1	CXorf6
GSDMD	GSDMDC1
CYB5A	CYB5
COA7	C1orf163
COA7	SELRC1
LPCAT1	AYTL2
GPATCH3	GPATC3
CEP76	C18orf9
CEP78	C9orf81
TRAPPC11	C4orf41
ATAD5	C17orf41
MUL1	C1orf166
SMG9	C19orf61
RMI1	C9orf76
TCTN2	C12orf38
RFX7	RFXDC2
CYBB	CGD
NAA25	C12orf30
DCAF17	C2orf37
REEP1	C2orf23
CENPT	C16orf56
EFL1	EFTUD1
USB1	C16orf57
CPLANE1	C5orf42
FAM161A	RP28
TUT7	ZCCHC6
ABRAXAS1	CCDC98
ABRAXAS1	FAM175A
GRHL3	TFCP2L4
CYLD	CYLD1
KDM8	JMJD5
HHIPL2	KIAA1822L
PYCR3	PYCRL
CLIP2	WBSCR4
CLIP2	CYLN2
CLIP2	WBSCR3
DIPK2B	CXorf36
NAA60	NAT15
ZNF606	ZNF328
ORAI1	TMEM142A
MFSD2A	MFSD2
CYP11A1	CYP11A
AFAP1L2	KIAA1914
POMGNT2	C3orf39
POMGNT2	GTDC2
CEP89	CCDC123
FAM222A	C12orf34
STRIP1	FAM40A
CYP17A1	CYP17
CYP19A1	CYP19
TET2	KIAA1546
CYP1A1	CYP1
VPS50	CCDC132
RETREG1	FAM134B
ESRP1	RBM35A
CYP1B1	GLC3A
GON4L	GON4
ELP6	TMEM103
ELP6	C3orf75
MIEF1	SMCR7L
NSUN2	MRT5
CYP21A2	CYP21
CYP21A2	CYP21B
SPDL1	CCDC99
DNAAF5	HEATR2
CYP24A1	CYP24
TRMT10C	RG9MTD1
LPCAT2	AYTL1
SDHAF2	PGL2
SDHAF2	C11orf79
PARP16	C15orf30
GEMIN8	FAM51A1
INTS8	C8orf52
CYP27A1	CYP27
INTS11	CPSF3L
CYP27B1	VDD1
CYP27B1	PDDR
MCUB	CCDC109B
CYP2A6	CYP2A3
CFAP69	C7orf63
CLIP4	RSNL2
EDC3	YJDC
EXO5	C1orf176
EXO5	DEM1
LDAH	C2orf43
IFT46	C11orf60
CYP2B6	CYP2B
ESRP2	RBM35B
INTS3	C1orf60
ELMOD3	RBM29
ELMOD3	RBED1
ELMOD3	DFNB88
CPED1	C7orf58
CTC1	C17orf68
OGFOD3	C17orf101
COLGALT1	GLT25D1
TUT1	RBM21
SLC66A2	PQLC1
MTARC1	MOSC1
MTARC1	MARC1
MTMR14	C3orf29
ZNF385D	ZNF659
CYP2C18	CYP2C17
STN1	OBFC1
CYP2C19	CYP2C
PIF1	C15orf20
FAR1	MLSTD2
DENND1C	FAM31C
METTL25	C12orf26
CYP2C9	CYP2C10
EFHC2	MRX74
MYO19	MYOHD1
CEP97	LRRIQ2
CYP2D6	CYP2DL1
CYP2D6	CYP2D7P2
CYP2D6	CYP2D7BP
CYP2D6	CYP2D8P2
CYP2D6	CYP2D7AP
PDZD7	PDZK7
PDZD7	DFNB57
TTI2	C8orf41
PIEZO2	FAM38B2
PIEZO2	C18orf30
PIEZO2	C18orf58
PIEZO2	FAM38B
NARS2	DFNB94
CAMKMT	C2orf34
BBS10	C12orf58
CCDC102B	C18orf14
CCDC102B	ACY1L
ADORA2A	ADORA2
ODAPH	C4orf26
HEXD	HEXDC
CYP2E1	CYP2E
KANSL1L	C2orf67
MYRFL	C12orf15
MYRFL	C12orf28
CYP2F1	CYP2F
ZNF385B	ZNF533
ZNF534	KRBO3
BTBD16	C10orf87
SEPTIN12	SEPT12
MCMDC2	C8orf45
CYP3A4	CYP3A3
CBLL2	ZNF645
DAW1	WDR69
SLAIN1	C13orf32
HENMT1	C1orf59
MARVELD2	MRVLDC2
MARVELD2	DFNB49
NADK2	C5orf33
NADK2	NADKD1
HDX	CXorf43
CYP4A11	CYP4A2
FAAH2	AMDD
CLHC1	C2orf63
TEPSIN	C17orf56
TEPSIN	ENTHD2
CES5A	CES7
CYP4F3	LTB4H
CFAP57	WDR65
CYP51A1	CYP51
CYP7A1	CYP7
BROX	C1orf58
NSMCE2	C8orf36
CYP7B1	SPG5A
LOXHD1	DFNB77
HGSNAT	TMEM76
CFAP53	CCDC11
DNHD1	DHCD1
DNHD1	C11orf47
DNHD1	DNHD1L
DNHD1	CCDC35
CCN1	IGFBP10
CCN1	CYR61
HEATR9	C17orf66
AXDND1	C1orf125
GTSF1	FAM112B
RMDN2	FAM82A
RMDN2	FAM82A1
PRIMPOL	CCDC111
UNC80	C2orf21
PWWP3B	MUM1L1
RTP5	C2orf85
RTP5	CXXC11
GAPT	C5orf29
DOK7	C4orf25
SLC35G1	TMEM20
HECTD4	C12orf51
KDF1	C1orf172
DACH1	DACH
XXYLT1	C3orf21
BBS12	C4orf24
CD55	DAF
POC5	C5orf37
COL6A5	COL29A1
CFAP43	C10orf79
CFAP43	WDR96
CCDC71L	C7orf74
CEP120	CCDC100
SYNE4	C19orf46
SYNE4	DFNB76
CFAP47	CXorf59
CFAP47	CXorf22
CFAP47	CXorf30
CFAP47	CHDC2
ANKS6	SAMD6
ANKS6	ANKRD14
CCDC88B	CCDC88
DARS1	DARS
LACC1	C13orf31
ARL14EP	C11orf46
DIDO1	C20orf158
DIDO1	DATF1
ANKLE1	ANKRD41
AMER1	FAM123B
DAZL	DAZLA
CCDC168	C13orf40
MROH2B	HEATR7B2
BRINP1	DBCCR1
BRINP1	DBC1
TCAF2	FAM139A
TCAF2	FAM115C
TPRN	C9orf75
TPRN	DFNB79
OTOGL	C12orf64
ERCC6L2	C9orf102
SPOUT1	C9orf114
RTCB	C22orf28
HIKESHI	C11orf73
DBN1	D0S117E
INO80	INOC1
WDR90	C16orf17
WDR90	C16orf15
WDR90	C16orf16
WDR90	C16orf19
WDR90	C16orf18
COX20	FAM36A
PDZD8	PDZK8
METTL23	C17orf95
INO80C	C18orf37
ZNF816	ZNF816A
PARP1	PPOL
PARP1	ADPRT
DCLK1	DCAMKL1
MISP	C19orf21
ECI1	DCI
PTRH1	C9orf115
ACE	DCP1
CARMIL2	RLTPR
DCT	TYRP2
PARP4	ADPRTL1
PARP2	ADPRTL2
ASAP1	DDEF1
ASAP2	DDEF2
RBM33	PRR8
ESCO2	RBS
H2BW1	H2BFWT
KANK4	ANKRD38
GRAMD2A	GRAMD2
MCEMP1	C19orf59
FYB2	C1orf168
PARP3	ADPRTL3
DDR1	NTRK4
DDR1	PTK3A
DDR1	NEP
DDR1	CAK
DDR1	EDDR1
IBA57	C1orf69
DDR2	TYRO10
DDR2	NTRKR3
INTS6L	DDX26B
ANO5	TMEM16E
ANO5	LGMD2L
OTUD1	OTDC1
ITPRID1	CCDC129
MSRB3	DFNB74
DHX16	DDX16
DDX3X	DDX3
DDX5	HLR1
DDX5	G17P1
DDX6	HLR2
DHX8	DDX8
DHX9	LKP
DHX9	DDX9
PIAS1	DDXBP1
DECR1	DECR
MILR1	C17orf60
PPP1R37	LRRC68
DEFA5	DEF5
DEFB4A	DEFB102
DEFB4A	DEFB2
DEFB4A	DEFB4
ADRA1A	ADRA1C
CFD	DF
CFD	PFD
RNF212	LOC285498
MROH6	C8orf73
SOHLH1	C9orf157
H2BW2	H2BFM
H2BW2	H2BM
MROH2A	HEATR7B1
STING1	TMEM173
GRHL2	DFNA28
GRHL2	TFCP2L3
CTU2	C16orf84
WDPCP	C2orf86
EMC4	TMEM85
CCDC174	C3orf19
MEX3C	RKHD2
GSAP	PION
ZFP69B	ZNF643
LYRM7	C5orf31
NDUFAF2	NDUFA12L
ADRA2A	ADRA2
ADRA2A	ADRA2R
GSDME	DFNA5
CPTP	GLTPD1
PRRC2B	KIAA0515
PRRC2B	BAT2L
PRRC2B	BAT2L1
GPAT3	AGPAT9
CFAP300	C11orf70
ADRA2B	ADRA2L1
ADRA2B	ADRA2RL1
RHNO1	C12orf32
CEP19	C3orf34
COX14	C12orf62
TXNDC17	TXNL5
UTP23	C8orf53
NXPE3	FAM55C
PHYKPL	AGXT2L2
PCGF5	RNF159
MFSD12	C19orf28
ADRA2C	ADRA2L2
ADRA2C	ADRA2RL2
LRRIQ3	LRRC44
ZFC3H1	PSRC2
ZFC3H1	CCDC131
AUNIP	C1orf135
THOC6	WDR58
ENKUR	C10orf63
TMEM67	MKS3
TRMT10A	RG9MTD2
DENND1B	FAM31B
DENND1B	C1orf218
KMT5C	SUV420H2
DGAT1	DGAT
CCNQ	FAM58A
FAAP24	C19orf40
DGCR8	C22orf12
TMEM43	ARVD5
NOA1	C4orf14
MFSD8	CLN7
DGKA	DAGK
DGKA	DAGK1
CATSPERE	C1orf101
ADRB1	ADRB1R
SETD9	C5orf35
BEND2	CXorf20
GLIS3	ZNF515
CEP112	CCDC46
EOGT	C3orf64
NXPE1	FAM55A
IL34	C16orf77
DGKG	DAGK3
KIAA0825	C5orf36
TMCO5A	TMCO5
DGKQ	DAGK4
MEIOB	C16orf73
FRMPD2	PDZD5C
FRMPD2	PDZK5C
DHCR24	DCE
ADRB2	ADRB2R
DHCR7	SLOS
ARMCX4	CXorf35
TEX26	C13orf26
NDUFAF6	C8orf38
CTAGE6	CTAGE6P
DIS3L2	FAM6A
ISCA1	HBLD2
SLC9C2	SLC9A11
STKLD1	C9orf96
CYBC1	C17orf62
TICRR	C15orf42
PAGR1	C16orf53
APOO	FAM121B
CYB5R3	DIA1
CCDC190	C1orf110
PRR14L	C22orf30
NQO1	NMOR1
NQO1	DIA4
ILDR1	DFNB42
DIAPH1	DFNA1
DRAM2	TMEM77
SHLD2	FAM35A
METTL18	C1orf156
AP1AR	C4orf16
NDUFAF7	C2orf56
DIO1	TXDI1
OLA1	GTPBP9
IRGC	IRGC1
DIO3	TXDI3
SYCE1	C10orf94
PPP1R32	C11orf66
PATJ	INADL
GRK2	ADRBK1
DKC1	DKC
ITIH6	ITIH5L
CCDC22	CXorf37
WDR45	WDRX1
CEP170	KIAA0470
EDAR	ED3
EDAR	DL
EMC1	KIAA0090
DLAT	DLTA
URB2	KIAA0133
SPIDR	KIAA0146
ZC3H3	ZC3HDC3
IST1	KIAA0174
GSE1	KIAA0182
DLD	LAD
DLD	GCSL
TUT4	ZCCHC11
HMGXB3	HMGX3
TMEM94	KIAA0195
WASHC5	SPG8
WASHC5	KIAA0196
LPGAT1	FAM34A
ZNF592	SCAR5
LARP4B	KIAA0217
LARP4B	LARP5
RUBCN	KIAA0226
PIEZO1	FAM38A
ABCA1	ABC1
ABCA1	HDLDT1
GRK3	ADRBK2
C2CD2L	TMEM24
NEMP1	TMEM194
NEMP1	TMEM194A
TRIM66	C11orf29
SEC16A	KIAA0310
FRMPD4	PDZK10
FRMPD4	PDZD10
ZNF629	ZNF65
KDM6B	JMJD3
CLEC16A	KIAA0350
SPECC1L	CYTSA
SGSM2	RUTBC1
TTI1	KIAA0406
RRP8	KIAA0409
PPIP5K2	HISPPD1
PPIP5K2	DFNB100
PLCH2	PLCL4
RPRD2	KIAA0460
SZT2	C1orf84
SZT2	KIAA0467
DSTYK	RIPK5
DSTYK	SPG23
DENND4B	KIAA0476
IQSEC2	MRX1
IQSEC2	MRX78
IQSEC2	MRX18
GPATCH8	KIAA0553
GPATCH8	GPATC8
VWA8	KIAA0564
CEP68	KIAA0582
IFT140	WDTC2
KDM1A	AOF2
KDM1A	KDM1
CEP135	KIAA0635
CEP135	CEP4
ATG13	KIAA0652
ZC3H11A	ZC3HDC11A
CLUH	KIAA0664
RRP12	KIAA0690
ANKLE2	KIAA0692
DDHD2	SAMWD1
DLST	DLTS
FCHSD2	SH3MD3
TMEM63A	KIAA0792
MTCL1	KIAA0802
MTCL1	CCDC165
MTCL1	SOGA2
VPS8	KIAA0804
FRYL	KIAA0826
KDM4B	JMJD2B
MAU2	KIAA0892
TMEM131L	KIAA0922
PHLPP2	PHLPPL
DIP2C	KIAA0934
ICE1	KIAA0947
SBNO2	KIAA0963
FASTKD2	KIAA0971
TRAPPC8	KIAA1012
DLX4	DLX7
DLX4	DLX9
FAN1	KIAA1018
FAN1	MTMR15
MINAR1	KIAA1024
WASHC4	KIAA1033
RAP1GAP2	GARNL4
PHF24	KIAA1045
PLCH1	PLCL3
ANKRD26	THC2
CAMSAP2	CAMSAP1L1
PPP6R1	KIAA1115
PPP6R1	SAPS1
TBC1D24	DFNB86
SVBP	CCDC23
ERMN	KIAA1189
CEMIP	KIAA1199
GRAMD1B	LINC01059
PRR12	KIAA1205
RALGAPB	KIAA1219
NWD2	KIAA1239
INTU	PDZK6
INTU	PDZD6
INTS2	KIAA1287
SH3PXD2B	KIAA1295
RTL9	RGAG1
DISP3	PTCHD2
NCEH1	AADACL1
IFT80	WDR56
CEP126	KIAA1377
MAP10	KIAA1383
MARCHF4	MARCH4
CFAP97	KIAA1430
DMD	MRX85
SLAIN2	KIAA1458
JCAD	KIAA1462
RELCH	KIAA1468
NYAP2	KIAA1486
HNRNPCL1	HNRPCL1
KANK2	MXRA3
KANK2	ANKRD25
CIP2A	KIAA1524
CCDC180	KIAA1529
CCDC180	C9orf174
UVSSA	KIAA1530
CAMSAP3	KIAA1543
CACHD1	VWCD1
SHTN1	KIAA1598
FAM160B1	KIAA1600
NCKAP5L	KIAA1602
WDFY4	C10orf64
DENND1A	KIAA1608
MEAK7	KIAA1609
MEAK7	TLDC1
DMPK	DM1
DMPK	DM
EPG5	KIAA1632
CCSER1	FAM190A
INTS5	KIAA1698
ASXL3	KIAA1713
SELENOI	EPT1
CEP295	KIAA1731
CFAP74	C1orf222
CFAP74	KIAA1751
UNK	ZC3HDC5
UNK	ZC3H5
ITPRIPL1	KIAA1754L
KNDC1	RASGEF2
KNDC1	C10orf23
SRRM4	KIAA1853
DNA2	DNA2L
PLIN4	KIAA1881
DCAF12L1	WDR40B
ELFN2	LRRC62
ELFN2	PPP1R29
SGSM1	RUTBC2
FAM171B	KIAA1946
PPP1R18	KIAA1949
DNAH12	DNHD2
DNAH12	DNAH12L
DNAH12	DNAH7L
NEXMIF	KIAA2022
GLMP	C1orf85
ZNF717	ZNF838
DNAH14	C1orf67
DNAH17	DNAHL1
DNAH2	DNHD3
TET1	CXXC6
KMT5A	SETD8
FCSK	FUK
GPSM2	DFNB82
PJVK	DFNB59
LCOR	C10orf12
DNAH6	DNHL1
GLDN	COLM
DNAH9	DNAH17L
NAA50	MAK3
NAA50	NAT13
ESYT1	FAM62A
NOB1	PSMD8BP1
VMP1	TMEM49
DNASE1	DNL1
DNASE1L1	DNL1L
TEX38	C1orf223
TEX38	ATPAF1-AS1
IRGM	IRGM1
DYNC1H1	DNECL
DYNC1H1	DNCL
DYNC1H1	DNCH1
DYNC2H1	DNCH2
DYNC1I1	DNCI1
DYNC1I2	DNCI2
IFT43	C14orf179
GNPTAB	GNPTA
PUM3	KIAA0020
DNM1	DNM
DNMT1	DNMT
TRDMT1	DNMT2
LAMTOR2	ROBLD3
MRTFB	MKL2
CCDC171	C9orf93
NSMF	NELF
CADM2	IGSF4D
CHRDL1	MGC1
ISCU	NIFUN
ICE2	NARG2
NDUFAF3	C3orf60
NUTM1	C15orf55
DXO	DOM3Z
CENPV	PRR6
DONSON	C21orf60
TENM2	ODZ2
TENM4	ODZ4
DPAGT1	DPAGT2
DPAGT1	DPAGT
AZIN2	ADC
DCAF6	IQWD1
JADE1	PHF17
DPH1	DPH2L
DPH1	DPH2L1
DPH2	DPH2L2
REEP6	C19orf32
DPP4	CD26
DPP4	ADCP2
NAMPT	PBEF1
PRAC2	C17orf93
PRAC2	NCRNA00253
PRAC2	HOXB13-AS1
PRAC2	HOXB-AS5
ZFAND6	ZA20D3
SLC26A3	DRA
SLC26A3	CLD
CRBN	MRT2A
ATP13A2	PARK9
UBAC1	UBADC1
SLC52A2	GPR172A
SLC52A1	GPR172B
WLS	C1orf139
WLS	GPR177
TUSC3	MRT22
LPCAT3	OACT5
LPCAT3	MBOAT5
QSOX2	QSCN6L1
DRD5	DRD1L2
SEC16B	LZTR2
ARID3A	DRIL1
UBR4	ZUBR1
TASOR	C3orf63
TASOR	FAM208A
ATN1	D12S755E
ATN1	DRPLA
DSC3	DSC4
KLHL40	KBTBD5
EXOC3	SEC6L1
EXOC4	SEC8L1
SELENOS	VIMP
TPRA1	GPR175
PSMG1	DSCR2
NAPRT	NAPRT1
PIGP	DSCR5
UBR3	ZNF650
DSG1	DSG
DNAAF3	C19orf51
DNAAF3	CILD2
WHAMM	WHDC1
USF3	KIAA2018
PRRT2	ICCA
PRRT2	DYT10
TSC22D3	DSIPI
EPYC	DSPG3
HAUS8	HICE1
DNAAF1	LRRC50
DSPP	DFNA39
DSPP	DGI1
DPH6	ATPBD4
FDX2	FDX1L
TXNL4A	TXNL4
MIB2	ZZANK1
PRAC1	C17orf92
PRAC1	PRAC
PPP1R21	CCDC128
PPP1R21	KLRAQ1
SPDYA	SPDY1
ELP5	C17orf81
SPSB3	C16orf31
TADA1	TADA1L
TSACC	C1orf182
DUSP1	PTPN10
UBA2	SAE2
TAB3	MAP3K7IP3
WDR36	GLC1G
TRAT1	TCRIM
TSHZ3	ZNF537
FAM71F1	FAM137A
MS4A14	MS4A16
CABS1	C4orf35
CSRNP3	FAM130A2
TMX2	TXNDC14
DUSP8	C11orf81
TARS2	TARSL1
DACT3	RRR1
KNSTRN	C15orf23
ELOA2	TCEB3B
MTERF2	MTERFD3
NAA15	NARG1
UBIAD1	SCCD
TMIE	DFNB6
ZBED8	C5orf54
SGO2	SGOL2
POC1B	WDR51B
KRT25	KRT25A
SNRNP200	ASCC3L1
SNRNP200	RP33
ITFG2	FGGAP1
ALG13	GLT28D1
ALG13	CXorf45
ATP5MD	USMG5
DYRK1A	DYRK1
DYRK1A	DYRK
DYRK1A	MNBH
DCAF7	WDR68
LINS1	LINS
LINS1	MRT27
ZC3H8	ZC3HDC8
ZG16	JCLN
TRMO	C9orf156
DYSF	LGMD2B
TOR1A	DYT1
GREB1L	KIAA1772
TMEM132A	HSPA5BP1
E2F1	RBBP3
LEFTY2	TGFB4
LEFTY2	EBAF
EBP	CDPX2
IDNK	C9orf103
GPR179	GPR158L1
PRSS57	PRSSL1
SLC9C1	SLC9A10
TRPV5	ECAC1
ECE1	ECE
TYMP	MNGIE
TYMP	ECGF1
AFG3L2	SCA28
EDA	ED1
EDA	EDA2
EDA	ODT1
S1PR1	EDG1
TMEM72	C10orf127
LPAR1	EDG2
ENO4	C10orf134
GRXCR1	DFNB25
LPAR2	EDG4
S1PR2	EDG5
S1PR2	DFNB68
AFP	HPAFP
S1PR4	EDG6
ZBTB7C	ZBTB36
BOD1L1	FAM44A
BOD1L1	BOD1L
TCHHL1	S100A17
TCHHL1	THHL1
EDNRB	HSCR2
EDNRB	HSCR
LINGO4	LRRN6D
PHC1	EDR1
KPRP	C1orf45
PHC2	EDR2
MICU2	EFHA1
EEF1A1	EF1A
EEF1A1	EEF1A
EEF1A1	LENG7
ACAN	MSK16
ACAN	CSPG1
ACAN	AGC1
EEF1A2	STNL
EEF1A2	STN
LCA5	C6orf152
METTL11B	C1orf184
ABCA2	ABC2
EEF2	EF2
APOBEC4	C1orf169
MTG1	GTPBP7
EFEMP1	DHRD
EFEMP1	FBNL
EFNA3	EPLG3
EFNA4	EPLG4
EFNB1	EPLG2
EFNB1	CFNS
EFNB2	EPLG5
EFNB3	EPLG8
CELSR3	EGFL1
C1QTNF12	C1QDC2
C1QTNF12	FAM132A
CELSR2	EGFL2
MBOAT4	OACT4
MEGF6	EGFL3
LURAP1	C1orf190
MEGF8	EGFL4
MEGF8	C19orf49
EGFL6	MAEG
EGFR	ERBB
ARL17B	ARL17
BDH2	DHRS6
EGR2	KROX20
LRRC75A	C17orf76
LRRC75A	FAM211A
EHD1	PAST1
SPEM1	C17orf83
EHD3	PAST3
EHHADH	ECHD
AGPAT2	BSCL
EIF1AX	EIF4C
EIF1AX	EIF1A
EIF2B1	EIF2B
AGO1	EIF2C1
AGO2	EIF2C2
AGO2	CASC7
EIF2S3	EIF2G
EIF3A	EIF3
EIF3A	EIF3S10
EIF3G	EIF3S4
EIF3F	EIF3S5
EIF3D	EIF3S7
GFRAL	C6orf144
EIF3C	EIF3S8
PNO1	KHRBP1
EIF3B	EIF3S9
EIF4E	EIF4EL1
AGRN	AGRIN
RNF207	C1orf188
SOWAHB	ANKRD56
EIF4G1	EIF4G
HAUS7	UCHL5IP
ABCA3	ABC3
CELA1	ELA1
ELANE	ELA2
SERPINB1	ELANH2
CSKMT	METTL12
ELAVL4	HUD
ELFN1	PPP1R28
ELF3	ESX
SEPTIN14	SEPT14
AGT	SERPINA8
EML1	EMAPL
MARK2	EMK1
ADGRE1	TM7LN3
ADGRE1	EMR1
ADGRE2	EMR2
CTTN	EMS1
GXYLT2	GLT8D4
ENAM	AIH2
KIAA1211L	C2orf55
EXOG	ENDOGL1
EXOG	ENDOGL2
ENG	ORW1
ENG	ORW
ENO1	ENO1L1
ENO1	MPB1
PALM2AKAP2	PALM2-AKAP2
NDUFAF8	C17orf89
ENPP1	NPPS
ENPP1	M6S1
ENPP1	PDNP1
ENPP2	PDNP2
ENPP3	PDNP3
AGTR1	AGTR1B
C2CD4A	FAM148A
ENTPD1	CD39
PEAR1	MEGF12
ENTPD2	CD39L1
ENTPD3	CD39L3
ENTPD5	CD39L4
ENTPD5	PCPH
ENTPD6	CD39L2
ENTPD6	IL6ST2
KHDC3L	C6orf221
MICOS13	C19orf70
METTL21C	C13orf39
POTEB	A26B1
EZHIP	CXorf67
CAVIN4	MURC
BNIP5	C6orf222
EPB41	EL1
LAMTOR4	C7orf59
MYMK	TMEM8C
PTRHD1	C2orf79
AGMO	TMEM195
AK9	C6orf224
AK9	AKD2
AK9	C6orf199
AK9	AKD1
AARD	C8orf85
COA5	C2orf64
EPHA1	EPHT
EPHA1	EPHT1
EPHA2	ECK
EPHA3	ETK
EPHA3	ETK1
EPHA3	TYRO4
EPHA4	TYRO1
POTEA	A26A1
